"Hanke","AlkuPvm","StrateginenOhjelma","Karkihanke","SidosryhmaRooli","Aihepiiri","MenotYhteensa","Organisaatio","ProjektiId","Projekti","LoppuPvm","JulkaistavaProjektikuvaus","Kehittamistarve","Kohderyhma","StrateginenOhjelmaYlempi"
"null","null","Lisätään tuottavuutta tekemällä ehkäisevästä työstä kaiken toiminnan kivijalka","Ei","null","Terveys ja sosiaalipalvelut","67058.0","Konha/Työllisyys, maahanmuutto ja hyvinvointi","2306","Much More","2019-08-30","Päihteiden väärinkäyttö tuo mukanaan lukuisia sosiaalisia ongelmia. Ne eivät useinkaan poistu väärinkäytön päätytyä. Suhteet lähimmäisiin ovat vahingoittuneet, koulutus voi olla vajavainen ja suhteita työelämään ei ole jne. Usein ongelmat ovat miehillä vielä suurempia kuin naisilla. \r\n\r\nHyödyt ja tavoitteet:\r\n\r\nMuch more-projektin tavoitteena on luoda mielekästi toimintaa päihteitä väärinkäyttäneille miehille. Mielekäs ja ihmisistä itsestään lähtevä toiminta täyttää aiemmin päihteille varattua aikaa ja tuo sisältöä elämään.\r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nProjektissa Riikan kaupungin sosiaalipalvelut, miesten kriisikeskus Stickan Gävlessä ja Varsinais-Suomen Sininauha ry ovat kehittäneet ja pilotoineet ryhmätoimntaa hankkeen kohderyhmälle yhdessä sidosryhmiensä kanssa. Hanke on saanut rahoitusta Central Baltic Interreg -ohjelmasta. \r\n\r\nProjektipartnerit kokosivat oppimiaan ja testaamian tapoja osallistaa kohderyhmää SWOT-analyysien muotoon. Näistä toivotaan olevan hyötyöä muille ammattilaisille, jotka pohtivat osallistavien metodien käyttöön ottamista.\r\n\r\nLisäksi projektin järjestämien koulutusten avain-havainnot on koottu materiaalipaketiksi ammattilaisten hyödynnettäväksi ja vertaistueksi.\r\n\r\nLisätietoja projektista: http://projectmuchmore.weebly.com/\r\nSWOT-analyysit: http://projectmuchmore.weebly.com/news/may-21st-2019\r\nAmmattilaisen työkalupakki: http://projectmuchmore.weebly.com/news/toolbox-lessons-learned-from-trainings-for-professionals","Muu","Aikuiset|Yhdistykset ja yhteisöt","Terve ja hyvinvoiva turkulainen"
"null","null","null","Ei","null","Koulutus ja päivähoito|Kulttuuri ja liikunta","8700.0","Konha/Työllisyys, maahanmuutto ja hyvinvointi","2307","Open the Door for Reading","2019-10-31","Open the Door for Reading -projektia koordinoi Göteborgin kaupunki kumppaneinaan Turku, Milano, Brysseli ja Bristol. Kaksivuotisen hankkeen aikana kaupungit jakavat osaamistaan lukemisen edistämisestä työpajojen, seminaarien ja opintovierailujen avulla.\r\n\r\nHyödyt ja tavoitteet:\r\nTavoitteena on löytää keinoja tukea lasten lukuvalmiuksien kehittymistä. \r\n\r\nToimenpiteet ja tuotokset:\r\nHankkeessa kootaan parhaat käytännöt julkaisuksi.\r\n\r\nLisätietoja projektin nettisivuilta: www.goteborg.se/openthedoorforreading","Muu","Lapsiperheet|Maahanmuuttajat|Vauvat ja taaperot","null"
"null","2019-02-13","Lisätään tuottavuutta tekemällä ehkäisevästä työstä kaiken toiminnan kivijalka","Ei","null","null","67410.0","Konha/Työllisyys, maahanmuutto ja hyvinvointi","2308","FEMIS","2019-08-31","FEMIS - Gender specific drug and alcohol abuse prevention - Nordic-Russian social initiative for vulnerable women at risk - projekti on Pohjoismaisen yhteistyön rahoittama tiedonvaihdon ja verkostoitumisprojekti, jossa olivat mukana sosiaalityön ja terveysalan asiantuntijat Suomesta, Norjasta, Ruotsista sekä Venäjältä.\r\n\r\nProjekti Pohjoismaiden yhteistyön sivuilla: https://www.norden.org/en/project/femis-gendernaya-specifika-profilaktiki-zloupotrebleniya-narkotikami-i-alkogolem-femis\r\n\r\n\r\nHyödyt ja tavoitteet:\r\n\r\nFEMIS-projektin tavoiteena oli kehittää sosiaalityön ja terveysalan ammattilaisten asiantuntijaverkostoa pohjoismaiden sekä Venäjän välille, jakaakseen parhaita pohjoismaisia käytäntöjä liittyen naisiin ja tyttöihin kohdistuvaan ehkäisevään päihdetyöhön.Tavoitteena on myös edistää terveellisia elämäntapoja haavoittuvassa asemassa olevien venäläisten naisten keskuudessa.  \r\n\r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nProjektin aikana luotiin asiantuntijaverkosto, missä ovat mukana organisaatiot/järjestöt Suomesta, Ruotsista, Norjasta sekä Venäjältä. Tehtiin opintomatkoja Suomeen sekä Ruotsiin, missä tutustuttiin erilaisiin menetelmiin ehkäisevään päihdetyöhön liittyen. Projektin lopputulos oli venäläisten projektikumppaneiden kehittämä ja kirjoittama brosyyri, mihin ovat kerätty parhaat käytännöt ehkäisevään päihdetyöhön liittyen Pohjoismaista, Istanbulin sopimuksesta tärkeimmät osiot liittyen naisiin kohdistuvan väkivallan ja perheväkivallan ehkäisemiseen sekä torjumiseen ja tilannekuva naisiin/tyttöihin liittyvästä ehkäisevästä päihdetyöstä Pietarissa. Tätä brosyyriä esiteltiin sekä jaettiin venäläisille asiantuntijoille FEMIS-projektin puitteissa järjestetyssä seminaarissa Pietarissa 6.6.2019. \r\n ","Muu","null","Terve ja hyvinvoiva turkulainen"
"null","null","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","Liikuntapalvelut£Oma organisaatio","Kulttuuri ja liikunta","15570.0","Konha/Työllisyys, maahanmuutto ja hyvinvointi","2310","Pacte","2020-12-31","Ihmisten passiivinen elintapa luo pohjaa monenlaisille hyvinvoinnin ongelmille. Kaupungeilla on merkittävä rooli kaupunkilaisten aktiivisuuden tukemisessa. Pacte-projektissa kaupungin roolia liikuntapolitiikassa tarkastellaan aktiivisen vapaa-ajan, aktiivisen koulun, aktiivisen liikkumisen ja aktiivisen työpaikan näkökulmista.\r\n\r\nProjektin rahoittaa EU:n Erasmus+-ohjelma. Siinä ovat mukana Turun ja Liverpoolin kaupungit ja kahdeksan liikunta-alan järjestöä Ranskasta, Saksasta, Sveitsistä, Italiasta ja Beligiasta.\r\n\r\nHyödyt ja tavoitteet:\r\n\r\nProjektissa rakennetaan malli kuntien liikuntapolitiikalle.\r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nProjetkissa rakennetaan malli kuntien liikuntapolitiikalle ja mallia levitetään verkostojen kautta eurooppalasiiin kuntiin.","Asukas-, asiakas- ja henkilöstötarve","Aikuiset|Lapsiperheet|Maahanmuuttajat|Nuoret|Seniorit|Vammaiset|Vauvat ja taaperot|Yhdistykset ja yhteisöt","Aktiivinen turkulainen"
"null","null","null","Ei","null","null","2500.0","Konha/Kaupunkikehitysryhmä","2316","KTO / Turun talouskehityksen rakenteelliset piirteet","null","Katsaus osoittaa millaisia merkittäviä muutoksia Turun seudun talouden dynamiikassa sekä sen asemassa koko maan aluerakenteessa on viime aikoina tapahtunut. \r\n\r\nLisätietoja: https://www.turku.fi/uutinen/2019-05-20_taloustieteen-professori-emeritus-turun-seutu-kasvun-veturi-mutta-alue-tarvitsee","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Keskustan kehittämisen kärkihanke","2019-05-08","null","Kyllä","null","null","null","Konha/Kaupunkikehitysryhmä","2317","KTO / Ovet auki akatemiaan - Akateeminen historia, kulttuuriperintö ja tieteellinen tutkimus elävän ja elämyksellisen kaupunkikulttuurin voimavarana","null","Turun yliopistot ja Turun kaupunki ovat ryhtyneet kehittämään yleisötoimintaa ja tiedematkailua tavoitteena lisätä yliopistojen ja akateemisen tutkimuksen näkyvyyttä Turun kaupunkikulttuurissa, -ympäristössä ja vetovoimassa. Tutkimushankkeessa vahvistetaan kehittämisen tieteellistä pohjaa ja tehdään vertailevaa tutkimusta millaisilla toimenpiteillä ja rakenteilla muut perinteiset yliopistokaupungit aktiivisesti tuovat tai liittävät akateemista historiaa ja kampuksia osaksi vetovoimaista kaupunkiympäristöä. Alueellisesti hankkeen fokus on yliopistonmäen toiminnallisessa kehittämisessä.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"null","null","null","Ei","null","null","6000.0","Konha/Kaupunkikehitysryhmä","2318","KTO / Kaupunkitutkimusohjelman ulkoinen arviointi","2018-08-15","Turun kaupunkitutkimusohjelman (2014-17) ulkoinen arviointi. Keskittyi yliopistojen ja kaupungin välisen yhteistyön analyysiin. Tuloksia hyödynnettiin kaupunkitutkimusohjelman päivittämisessä kaudelle 2019-2023 ja ohjelman toimintaprosessien, etenkin viestinnän kehittämisessä.\r\n\r\nLisätietoja ja raportti: https://www.turku.fi/uutinen/2018-12-20_turun-kaupunkitutkimusohjelma-onnistunut-tehtavassaan","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"null","2019-03-28","null","Ei","null","null","20000.0","Konha/Kaupunkikehitysryhmä","2319","KTO / Turun liikuntaekosysteemin analyysi","null","Verkostoanalyysi Turun liikuntaekosysteemin nykytilasta. Tavoitteena on selvittää verkoston toimijat, niiden keskinäiset suhteet ja vuorovaikutus, tiedon ja resurssien jakaminen verkostossa sekä toimijoiden toisilleen antamat merkitykset. \r\n\r\nHanke kytkeytyy Turun kaupungin organisaatiossa liikuntapalveluihin, jossa on käynnistynyt Kaikkia liikuttava Turku – Turku Future Sports -hanke. Sen tarkoituksena on kehittää liikunnan ja urheilun alan ekosysteemi kokoamalla elinkeinoelämän, kaupungin sekä oppilaitosten ja korkeakoulujen Turku Future Sports -verkosto ja kehittämällä sille johtamismalli.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"null","null","null","Ei","null","null","6443.0","Konha/Kaupunkikehitysryhmä","2320","KTO / Invånardeltagande vid Åbo stad","2019-02-28","Osallisuuden toimintamallin uudistamiseen liittyvää tutkimusyhteistyötä. Tutkijoiden työpanos rahoitetaan suurelta osin Suomen Akatemian Strategisen Tutkimuksen Neuvoston rahoittamasta hankkeesta Osallistuminen pitkäjänteisessä päätöksenteossa (PALO). \r\n\r\nOsarahoitus (täydentävä rahoitus) koski pääasiassa syksyllä 2018 tehtyjen kaupungin ja toimialojen johdon ja avainhenkilöiden haastatteluiden analysointia ja asian soveltavaa edelleen kehittelyä osallisuusmallin uudistamisprosessin tarpeisiin. Tulokset on julkaistu kesällä 2019 myös Hallinnon tutkimus -lehdessä. \r\n\r\nLisätietoja: https://www.turku.fi/uutinen/2018-10-26_turku-uudistaa-osallisuuden-toimintamallinsa-yhteistyossa-tutkijoiden-kanssa\r\n","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Keskustan kehittämisen kärkihanke","2018-04-28","null","Ei","null","null","32910.0","Konha/Kaupunkikehitysryhmä","2321","KTO / Miltä merellinen Turku tuntuu? Tutkimus- ja konseptointiprojekti","2018-12-31","Tutkimus- ja konseptointiprojektissa tuotettiin tietoa Turun vetovoiman kehittämiseen merellisenä kaupunkina ja porttina Turun saariston elämysmatkailuun. Tutkimuksen avulla selvitettiin minkälaisista tekijöistä merellisyyden kokeminen kaupungissa koostuu ja minkälaisina aistimuksina merellisyys koetaan. Tutkimus kohdistui yhtäältä turkulaisiin ja toisaalta ulkomaisiin matkailijoihin, kohderyhminä kiinalaiset, ruotsalaiset ja saksalaiset vierailijat. (Osarahoitus, yhteisprojekti Visit Finlandin kanssa.)\r\n\r\nLisätietoja ja raportti: https://www.visitturku.fi/uutinen/2019-03-04_turun-monipuolinen-merikokemus-ulottuu-joelta-saaristoon-0","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Historian museo","2019-01-01","null","Ei","null","null","83333.33","Konha/Kaupunkikehitysryhmä","2322","KTO / Tie meren yli - Kulttuurinen vuorovaikutus yliopistokaupunkien Turun ja Uppsalan välillä 1640-1828","2020-12-31","Hankkeessa tutkitaan Turkua yhtenä Ruotsin valtakunnan ydinalueiden keskeisistä yliopisto- ja hallintokaupungeista yliopiston perustamisesta vuonna 1640 yliopiston siirtämiseen Helsinkiin 1828. Tavoitteena on tuoda uutta tutkimustietoa Turun yliopistokaupungin merkityksestä Ruotsin valtakunnassa ja kaupungin oman älymystön piirissä. Lisäksi selvitettään, miten Turun inhimillinen ja kulttuurinen vuorovaikutus toisen yliopistokaupungin, Uppsalan, kanssa näkyi turkulaisten arjessa. Näihin kysymyksiin vastataan analysoimalla Turun akatemian ylioppilaiden, opettajien ja alumnien kontakteja, verkostoja ja älyllistä vuorovaikutusta Turussa, Turun seudulla sekä Turun ja Uppsalan välillä, samoin kuin tarkastelemalla ihmisten liikkuvuuden ja vuorovaikutuksen synnyttämiä pääomavirtoja ja aineellisen kulttuurin ilmenemismuotoja. Turun kaupunkitutkimusohjelman rahoitusosuudella toteutetaan laajemmasta hankkeesta Turun historiaa koskevaa osuutta.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Turun Tiedepuisto / Rohkean kokeileva","2019-01-01","null","Kyllä","null","null","83333.33","Konha/Kaupunkikehitysryhmä","2323","KTO / Turun tiedepuisto luovien kohtaamisten laboratoriona ja vuorovaikutteisen kaupunkikulttuurin kehittäjänä","2020-12-31","Ajatus ”luovasta kaupungista” on pitkään ohjannut kaupunkien kehittämistä ja tutkimista ympäri maailmaa, mutta ymmärrys luovien prosessien ja vuorovaikutteisen kaupunkikulttuurin syntymisestä ja kehittymisestä mikrotasolla on vielä vähäistä. Hankkeen tavoitteena on tutkia luovia kohtaamisia innovaatioalueella. Innovaatioalueita koskevaa kirjallisuutta täydentäen tarkastelemme erityisesti taiteellisen työn roolia luovien kohtaamisten stimuloijana ja haastajana. Tavoitteenamme on tutkia, miten taiteellinen työ eri muodoissaan voi olla osa luovaa vuorovaikusta ja toimintaa innovaatioalueilla. Hankkeessa kehitetään viitekehys, jonka avulla hahmotetaan taiteellisen työn roolia pysyvänä osana innovaatioalueiden toimintaa. Tätä analysoidaan koetilanteissa, jotka toteutetaan hankkeessa sarjana ajallisesti ja paikallisesti rajattuja interventioita toimintatutkimuksen periaattein. Niiden avulla kokeillaan, mitä arkkitehtuurin keinoin moderoitu tieteen, taiteen ja liiketoiminnan vuorovaikutus voi käytännössä tarkoittaa. Tilat koeasetelmia varten luodaan olemassa oleviin Turun tiedepuiston (TTP) tiloihin, joissa erilaiset toimijat voivat kohdata toisensa arjessa ja siten tulevat mahdollisesti haastetuksi omissa toimissaan. Rajattuja tiloja TTP:n alueella käytetään näin luovien kohtaamisten laboratorioina, joissa vuorovaikutuksen muotoja ja sisältöjä analysoidaan luovien prosessien käynnistymisen ja uusien toimintakulttuurien synnyn näkökulmasta. Saatujen tulosten perusteella arvioidaan myös, voitaisiinko Turun kärkihankkeena kehitettävän TTP:n alueella stimuloida uusia vuorovaikutteisen kaupunkikulttuurin muotoja, jotka vaikuttavat osaltaan koko kaupungin toimintakulttuuriin ja sen brändiin vahvistaen siten osaltaan kaupungin vetovoimaa kansallisesti ja kansainvälisesti.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Kaupunkirakenne ja liikennejärjestelmä","2019-01-01","null","Ei","null","null","150000.0","Konha/Kaupunkikehitysryhmä","2324","KTO / Miksi Turkuun? Kaupunkiasumisen houkuttelevuus asukkaan näkökulmasta","2020-12-31","Tutkimuksessa haetaan uutta tietoa asumisen tarjonnasta ja mahdollisuuksista sekä asukkaiden toiveista ja arvostuksista Turussa. Se jakaantuu kolmeen osaan. Ensimmäisessä osassa analysoidaan Turun seudun asuntotarjontaa ja asuinympäristötyyppejä. Toisessa osassa tutkitaan, mitä asukkaat asumiseltaan ja asuinympäristöiltään haluavat. Asumisen arvostuksista haetaan tarkastelemalla osallistujien aiempaa asumishistoriaa suhteessa nykyisiin asumistoiveisiin sekä hyödyntämällä asuntojen yhteissuunnittelua. Kolmannessa osassa esitetään tulosten perusteella suosituksia vetovoimaisten asunto- ja asuinympäristöjen kehittämiseen. Kokonaisuutena hanke auttaa kehittämään Turun seudun asumisvaihtoehtoja entistä houkuttelevammiksi ja erilaisia asukkaita palveleviksi Turun kaupunkistrategian mukaisella tavalla.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Smart and Wise Turku/Hiilineutraalius ja resurssiviisaus","2019-01-01","null","Kyllä","null","null","41666.66","Konha/Kaupunkikehitysryhmä","2325","KTO / Matching Forerunner Cities : Coping with climate change in Turku, Malmö, Rostock and Groningen","2020-12-31","The project aims at analysing the climate change policy of the City of Turku and compare it with the experience of three comparable cities, Malmö, Rostock, and Groningen. The city of Turku aims at becoming a carbon-neutral city by 2029. The strategy encompasses an implementation programme and specific measures. Since similar strategies have been decided upon and implemented in many European cities, we argue that there is much to learn from other forerunner cities. The project will focus on two aspects: first, it will study four matching forerunner cities, assess the learning capacities of their key actors (including public, private, and civil society actors) and the transfer potential of demonstration and lighthouse projects in these four cities. Second, it will, on a more general scale, ask how mid-sized forerunner cities like Turku, Malmö, Rostock, and Groningen can develop from city pioneers to city leaders, gain national and international recognition and reputation as leading cities, and thus help to upscale successful local projects nationally as well as internationally. ","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Smart and Wise Turku","2019-01-01","null","Kyllä","null","null","41666.66","Konha/Kaupunkikehitysryhmä","2326","KTO / The Connected Urban Community (5G merkitys kaupunkikehitykselle)","2020-12-31","Tausta:\r\n\r\n\r\n\r\n\r\n\r\nHyödyt ja tavoitteet:\r\n\r\n\r\n\r\n\r\n\r\nToimenpiteet ja tuotokset:","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","null"
"Smart and Wise Turku/Liikenne ja Liikkuminen","2019-03-25","Digitaalisia palveluja kehitetään laajalla ja avoimella yhteistyöllä","Kyllä","Turku Science Park Oy£Oma organisaatio|Turun Satama Oy£Oma organisaatio|Turun yliopisto£Korkeakoulu tai oppilaitos|Varsinais-Suomen liitto£Oma organisaatio|Tampereen kaupunki£Kaupunki, kunta tai seutukunta|VARELY£Valtionhallinto|Forum Virium Helsinki£Oma organisaatio|Turkuseura£Kolmas sektori|Keskustayrittäjät ry£Kolmas sektori|Turun seudun taksiyrittäjät ry£Kolmas sektori|Pysäköintioperaattorit£Yritys|Softafirmat ja konsultit£Yritys|Yhteiskäyttöautopalvelut£Yritys|Navigointipalvelut£Yritys|Rakennusyhtiöt£Yritys|Kiinteistöyhtiöt£Yritys|Asuntoyhtiöt£Yritys|Hotellit£Yritys","Kaupunkikehittäminen|Liikenne|Tekniikka ja teknologia","265183.0","Kaupunkiympäristötoimiala","2342","6Aika/Vähähiilinen liikkuminen liikennehubeissa (MobilityHub)","2021-10-31","Vähähiilinen liikkuminen liikennehubeissa -hanke kehittää Turkuun vähähiilisen kestävän liikkumisen uusia ratkaisuja yhdessä Tampereen, Espoon ja Oulun kaupunkiseutujen sekä Turun ammattikorkeakoulun ja yritysten kanssa. Pääpaino kokeiluissa on Turun osalta pysäköinnin ja saavutettavuuden parantamisessa, robottibussien toimintaedellysten selvittämisessä sekä pyöräpysäköinnin kehittämisessä. Hankkeen toimenpiteet painottuvat keskustan ja vanhan kaupungin alueelle.\r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nArvioiden mukaan jopa kolmas osa keskustan henkilöautoliikenteestä aiheutuu pysäköintipaikan etsimisestä. Keskustan saavutettavuutta pyritään parantamaan kokeilemalla uusia ratkaisuja, jotka voivat liittyä esimerkiksi liityntäpysäköintiin ja syöttöliikenteeseen, muiden kulkumuotojen tarjoamiseen ennen keskustaan saapumista, pysäköintipaikan varaamiseen, yksityishenkilön mahdollisuuteen vuokrata omaa pysäköintipaikkaa muille, pysäköintipaikkoja koskevan tiedon löydettävyyteen, hinnoitteluun ja maksamiseen jne. Robottibussien osalta Turku tekee yhteistyötä mm. Espoon ja muiden 6aika-kaupunkien kanssa ja selvittää autonomisen liikenteen potentiaalia esimerkiksi kustannussäästöjen osalta.  \r\n\r\nLisäksi Turku tekee yhteistyötä Turun ammattikorkeakoulun kanssa, joka kehittää hankkeessa pyöräilyn, jalankulun ja sähköisten liikkumisvälineiden palvelukokonaisuutta keskustan ja vanhan kaupungin alueella. Esimerkiksi pyörien turvallinen pysäköinti on haaste, johon hanke etsii ratkaisuja.","Kaupunkistrategia 2029 ja strategiset ohjelmat","null","Vaikuttava ja uudistuva Turku"
"Smart and Wise Turku/Liikenne ja Liikkuminen","null","Huomisen rakentamista edistetään maankäytön kehittämisen kokonaisvaltaisuutta, ennakkoluulottomia kumppanuuksia ja yhteistyömalleja korostavalla toimintamallilla","Kyllä","Turku Energia£Konserniyhtiö tai yhteisö|VASO Oy£Konserniyhtiö tai yhteisö|TVT Asunnot Oy£Konserniyhtiö tai yhteisö","null","626440.5","Konha/Kaupunkikehitysryhmä","2343","User Chi ","null","Tausta:\r\nTurku, Barcelona, Rooma, Budapest ja Berliini yhteiskumppaneineen ovat mukana hankkeessa, joka on saanut rahoitusta EU:n Horisontti 2020 -ohjelmasta vuosille 2020-2024. Hankkeen nimi suomeksi on ""Innovatiiviset ja käyttäjälähtöiset latausjärjestelmät"" ja englanniksi ""Innovative solutions for user-centric charging infrastructure, josta nimi USER-CHI. \r\n\r\n\r\nHyödyt ja tavoitteet:\r\n\r\nHankkeessa kehitetään sähkökäyttöisten kulkuneuvojen latauspalveluja, edistetään erilaisten latausjärjestelmien yhteentoimivuutta, selvitään kuluttajien mieltymyksiä ja asenteita, markkinoidaan sähköistä liikkumista sekä samalla vahvistetaan kaupunkien asemaa kestävän liikkumisen vetureina. \r\n\r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nTurun kaupunki tekee hankkeessa sähkökäyttöisten kulkuneuvojen lataukseen liittyvän koko kaupungin kattavan yleissuunnitelman, joka tukee julkisten ja yksityisten toimijoiden yhteistyötä ja siten vauhdittaa kaupungin latausinfrastruktuurin kehittymistä tulevina vuosina. \r\n\r\nYleissuunnitelman lisäksi Turun kaupunki pilotoi sähkökäyttöisten kevytkulkuneuvojen lataus- ja säilytysratkaisuja. Hankkeessa Turku Energia toteuttaa innovatiivisen latausjärjestelmän myöhemmin valittavaan kohteeseen. \r\n\r\nLisäksi Turun kaupunki ja Turku Energia ovat mukana TVT Asunnot Oy:n ja Varsinais-Suomen Asumisoikeus (VASO) Oy:n toteuttamissa piloteissa, joissa heidän omistamille asuinalueille toteutetaan asukkaiden käyttöön tulevat sähköautojen ja sähkökäyttöisten kevytajoneuvojen innovatiiviset latausjärjestelmät.  ","null","null","Rakentuva kaupunki ja ympäristö"
"Turku.fi","2020-05-15","Tuetaan aktiivista elämäntapaa luomalla edellytyksiä omatoimiselle aktiivisuudelle","Ei","null","null","483584.0","Konha/Hallintoryhmä","2345","Tapahtuma-, harrastus- ja koulutuskokonaisuuden kehittäminen","2021-11-30","Vuosi 2020 tuo mukanaan tiedonhallintalain, jonka tarkoituksena on säädellä ja yhdenmukaistaa tiedonhallintaa digitalisoituvassa toimintaympäristössä. Lain tavoitteena on edistää julkishallinnon tietojen ja tietovarantojen digiturvallisuutta, yhteen toimivuutta, tiedon jakamista ja hyödyntämistä. \r\n\r\nEU-tasolla on havahduttu siihen, miten merkittävä este yhteen toimivuuden puute on digitaalisten yhtenäismarkkinoiden kehitykselle. Nykytilanteessa kuntasektorilla Suomessa kipuillaan erilaisten kalenteritoteutusten ja rajapintaratkaisujen maailmassa. \r\n\r\nHyödyt ja tavoitteet:\r\n\r\nTavoitteita ovat hyvinvoiva asukas, vetovoimainen kaupunki ja kiehtova matkailukohde. Näistä lähtökohdista hankkeessa on tarkoituksena suunnitella kokonaisvaltaisesti palveleva ratkaisu. \r\n\r\nHyötyä saadaan, kun asukas aktivoituu esimerkiksi liikuntaharrastuksen tai kulttuurikokemuksen pariin. Helpon ja saavutettavan käyttöliittymän ansiosta käyttäjä palaa sivustolle yhä uudelleen. Laadukkaat tekstisisällöt takaavat selkeän ja yhtenäisen käyttäjäkokemuksen. Kehittämällä datan laatua ja rajapintoja on mahdollista tarjota yhtenevää tietoa erilaisissa asiakasta palvelevissa käyttöliittymissä. \r\n\r\nAsukkaan kannalta eri sidosryhmien osallistuminen hanketyöhön on tärkeää. Alueen yritykset, järjestöt, seurat sekä muut alueelliset toimijat pidetäänkin tiiviisti mukana työn eri vaiheissa.  \r\n\r\nToimenpiteet ja tuotokset:\r\n\r\nTavoitteena on kokonaisvaltainen tapahtumienhallinnan kehittäminen, jossa tietojen syöttäminen on nopeaa ja helppoa, tiedot liikkuvat sujuvasti eri tietokannoissa ja paikkatieto sisältää niin kaupungin omat kuin muidenkin tahojen tuottaman datan. \r\n\r\nTietojen löydettävyyden kannalta tarvitaan selkeät luokitukset ja kohderyhmät, jotta saadaan semanttisesti yhteen toimivaa dataa. Tiedon yhtenäistäminen vaatii standardointia ja panostusta avainsanoihin, kategorioihin ja ontologioihin. \r\n\r\nTavoitteena on uusi, toimiva käyttöliittymä, jonka kautta tapahtuma-, harrastus- ja koulutusdata olisi saatavilla tiedonhallintalain mukaisesti. Toteutuksessa tavoitellaan aidosti käyttäjää palvelevaa ratkaisua. \r\n\r\nTurku tuottaa hankkeen yhdessä Pieksämäen, Raision, Naantalin ja Kaarinan kanssa. Lisäksi hankkeen seurantajäsenenä on Tampere.","Mahdollistava (yhteistyö, rahoitus jne)","null","Aktiivinen turkulainen"
"null","2019-12-09","Osaava ja oppiva turkulainen","Ei","null","Koulutus ja päivähoito","87660.0","Sito/Perusopetus","2368","Teemme tulevaisuuden tekijöitä - peruskoulu on parasta","2021-08-31","Perusopetuksesta keskustellaan julkisuudessa ahkerasti. On tärkeää, että koulu itse ottaa proaktiivisen roolin viestiäkseen siitä hienosta työstä, jota opetushenkilöstö ja oppilaat kouluyhteisöissämme tekevät. Tutkimusten mukaan suomalaisten usko koulujärjestelmämme vahvuuteen on keskeinen tekijä siinä, miksi Suomen perusopetus on maailman huippua. On tärkeä puolustaa ja ylläpitää tätä luottamusta erilaisten mediamylläköiden keskellä.\r\n\r\nKuuden kaupungin (Helsinki, Turku, Espoo, Vantaa, Oulu, Tampere) kesken toteutettavassa hankkeessa parannetaan huoltajien ja kuntien asukkaiden mielikuvia ja arvostusta perusopetuksen palveluita kohtaan. Hanke auttaa huoltajia ja kuntien asukkaita ymmärtämään, minkälaista opiskelu on 2020-luvun kouluissa. Hankkeen kohderyhmänä ovat etenkin huoltajat, media ja koulutusalan päättäjät ja vaikuttajat.\r\n\r\nHankkeen aikana toteutetaan viestintäkampanja, jonka kärkiteemoja ovat muuttuva peruskoulu, kaikkien koulu ja tulevaisuuden tekijät. Turun viestinnässä keskitytään erityisesti kaikkien koulu -teemaan.\r\n\r\nKoulujen ja sivistystoimen viestinnän välille luodaan yhteinen viestintäverkosto, jonka avulla koulujen tapahtumista saadaan välitettyä tietoa julkisuuteen. Opettajille tarjotaan myös hankkeen aikana viestintäkoulutuksia sekä luodaan viestinnän työkalupakki.","Mahdollistava (yhteistyö, rahoitus jne)","Aikuiset|Lapsiperheet|Maahanmuuttajat|Nuoret|Viranomaiset","Hyvinvointi ja aktiivisuus"
